state,name,start_date,end_date
NW,Osterferien,2025-04-14,2025-04-26
NW,Pfingstferien,2025-06-10,2025-06-10
NW,Sommerferien,2025-07-14,2025-08-26
NW,Herbstferien,2025-10-13,2025-10-25
NW,Weihnachtsferien,2025-12-22,2026-01-06
NW,Osterferien,2026-03-30,2026-04-11
NW,Pfingstferien,2026-05-26,2026-05-26
NW,Sommerferien,2026-07-20,2026-09-01
NW,Herbstferien,2026-10-17,2026-10-31
NW,Weihnachtsferien,2026-12-23,2027-01-06
NW,Osterferien,2027-03-22,2027-04-03
NW,Pfingstferien,2027-05-18,2027-05-18
NW,Sommerferien,2027-07-19,2027-08-31
NW,Herbstferien,2027-10-23,2027-11-06
NW,Weihnachtsferien,2027-12-24,2028-01-08
RP,Winterferien,2022-02-21,2022-02-25
RP,Osterferien,2022-04-13,2022-04-22
RP,Sommerferien,2022-07-25,2022-09-02
RP,Herbstferien,2022-10-17,2022-10-31
RP,Weihnachtsferien,2022-12-23,2023-01-02
RP,Osterferien,2023-04-03,2023-04-06
RP,Pfingstferien,2023-05-30,2023-06-07
RP,Sommerferien,2023-07-24,2023-09-01
RP,Herbstferien,2023-10-16,2023-10-27
RP,Weihnachtsferien,2023-12-27,2024-01-05
RP,Osterferien,2024-03-25,2024-04-02
RP,Pfingstferien,2024-05-21,2024-05-29
RP,Sommerferien,2024-07-15,2024-08-23
RP,Herbstferien,2024-10-14,2024-10-25
RP,Weihnachtsferien,2024-12-23,2025-01-08
RP,Osterferien,2025-04-14,2025-04-25
RP,Sommerferien,2025-07-07,2025-08-15
RP,Herbstferien,2025-10-13,2025-10-24
RP,Weihnachtsferien,2025-12-22,2026-01-07
RP,Osterferien,2026-03-30,2026-04-10
RP,Sommerferien,2026-06-29,2026-08-07
RP,Herbstferien,2026-10-05,2026-10-16
RP,Weihnachtsferien,2026-12-23,2027-01-08
RP,Osterferien,2027-03-22,2027-04-02
RP,Sommerferien,2027-06-28,2027-08-06
RP,Herbstferien,2027-10-04,2027-10-15
RP,Weihnachtsferien,2027-12-23,2028-01-07
SH,Osterferien,2022-04-04,2022-04-16
SH,Himmelfahrt,2022-05-27,2022-05-28
SH,Sommerferien,2022-07-04,2022-08-13
SH,Herbstferien,2022-10-03,2022-10-21
SH,Herbstferien,2022-10-10,2022-10-21
SH,Weihnachtsferien,2022-12-23,2023-01-07
SH,Osterferien,2023-04-06,2023-04-22
SH,Himmelfahrt,2023-05-19,2023-05-20
SH,Sommerferien,2023-07-17,2023-08-26
SH,Herbstferien,2023-10-09,2023-10-27
SH,Herbstferien,2023-10-16,2023-10-27
