date,covid_infection_rate
2022-01-20,720.0
2022-01-21,791.8
2022-01-22,867.0
2022-01-23,913.2
2022-01-24,944.5
2022-01-25,1011.6
2022-01-26,1090.8
2022-01-27,1155.7
2022-01-28,1220.5
2022-01-29,1272.6
2022-01-30,1306.5
2022-01-31,1321.8
2022-02-01,1345.5
2022-02-02,1389.9
2022-02-03,1442.8
2022-02-04,1487.6
2022-02-05,1513.4
2022-02-06,1523.3
2022-02-07,1532.8
2022-02-08,1555.3
2022-02-09,1579.1
2022-02-10,1588.5
2022-02-11,1580.2
2022-02-12,1576.5
2022-02-13,1563.7
2022-02-14,1553.4
2022-02-15,1530.3
2022-02-16,1504.2
2022-02-17,1483.7
2022-02-18,1463.7
2022-02-19,1431.0
2022-02-20,1427.9
2022-02-21,1416.0
2022-02-22,1393.3
2022-02-23,1381.2
2022-02-24,1355.3
2022-02-25,1327.7
2022-02-26,1319.2
2022-02-27,1306.1
2022-02-28,1295.8
2022-03-01,1282.7
2022-03-02,1253.2
2022-03-03,1249.9
2022-03-04,1276.9
2022-03-05,1298.6
2022-03-06,1314.8
2022-03-07,1343.7
2022-03-08,1387.9
2022-03-09,1451.9
2022-03-10,1518.4
2022-03-11,1567.8
2022-03-12,1625.5
2022-03-13,1665.2
2022-03-14,1676.1
2022-03-15,1725.9
2022-03-16,1770.1
2022-03-17,1824.3
2022-03-18,1872.1
2022-03-19,1891.2
2022-03-20,1876.1
2022-03-21,1876.4
2022-03-22,1911.6
2022-03-23,1935.0
2022-03-24,1935.6
2022-03-25,1925.2
2022-03-26,1912.6
2022-03-27,1906.7
2022-03-28,1883.5
2022-03-29,1847.0
2022-03-30,1810.8
2022-03-31,1754.0
2022-04-01,1689.8
2022-04-02,1616.1
2022-04-03,1562.5
2022-04-04,1535.1
2022-04-05,1474.0
2022-04-06,1398.6
2022-04-07,1314.5
2022-04-08,1238.2
2022-04-09,1191.7
2022-04-10,1171.6
2022-04-11,1167.0
2022-04-12,1149.3
2022-04-13,1115.3
2022-04-14,1079.7
2022-04-15,1059.4
2022-04-16,962.3
2022-04-17,933.7
2022-04-18,923.7
2022-04-19,801.1
2022-04-20,773.3
2022-04-21,797.6
2022-04-22,803.7
2022-04-23,873.1
2022-04-24,876.0
2022-04-25,867.4
2022-04-26,964.5
2022-04-27,941.5
2022-04-28,865.7
2022-04-29,793.3
2022-04-30,744.5
2022-05-01,720.3
2022-05-02,707.1
2022-05-03,668.8
2022-05-04,629.8
2022-05-05,599.6
2022-05-06,582.6
2022-05-07,569.4
2022-05-08,561.1
2022-05-09,558.1
2022-05-10,556.0
2022-05-11,542.1
2022-05-12,527.0
2022-05-13,508.7
2022-05-14,496.5
2022-05-15,488.4
2022-05-16,484.0
2022-05-17,461.3
2022-05-18,429.6
2022-05-19,402.0
2022-05-20,377.4
2022-05-21,357.3
2022-05-22,349.9
2022-05-23,346.7
2022-05-24,324.6
2022-05-25,299.3
